3-2_ReductionFactor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026/4_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB,2026/5_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB,2026/6_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB,2026/7_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB,2026/8_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB,2026/9_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB,2026/10_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB,2026/11_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB,2026/12_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB,2027/1_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB,2027/2_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB,2027/3_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB
10:00Å`10:30,0.887,0.409,0.592,0.183,0.551,0.579,0.496,0.891,0.235,10:00Å`10:30,0.589,0.009,0.633,0.137,0.038,0.66,0.272,0.742,0.238,10:00Å`10:30,0.321,0.008,0.356,0.16,0.13,0.591,0.17,0.561,0.34,10:00Å`10:30,,,,,,,,,,10:00Å`10:30,,,,,,,,,,10:00Å`10:30,,,,,,,,,,10:00Å`10:30,,,,,,,,,,10:00Å`10:30,,,,,,,,,,10:00Å`10:30,,,,,,,,,,10:00Å`10:30,,,,,,,,,,10:00Å`10:30,,,,,,,,,,10:00Å`10:30,,,,,,,,,
10:30Å`11:00,0.91,0.406,0.581,0.171,0.58,0.571,0.551,0.883,0.404,10:30Å`11:00,0.606,0.009,0.574,0.138,0.044,0.649,0.28,0.753,0.248,10:30Å`11:00,0.335,0.008,0.318,0.157,0.106,0.584,0.169,0.553,0.342,10:30Å`11:00,,,,,,,,,,10:30Å`11:00,,,,,,,,,,10:30Å`11:00,,,,,,,,,,10:30Å`11:00,,,,,,,,,,10:30Å`11:00,,,,,,,,,,10:30Å`11:00,,,,,,,,,,10:30Å`11:00,,,,,,,,,,10:30Å`11:00,,,,,,,,,,10:30Å`11:00,,,,,,,,,
11:00Å`11:30,0.883,0.404,0.591,0.183,0.587,0.565,0.548,0.927,0.417,11:00Å`11:30,0.546,0.007,0.589,0.124,0.126,0.644,0.285,0.762,0.268,11:00Å`11:30,0.365,0.008,0.316,0.155,0.086,0.576,0.178,0.512,0.331,11:00Å`11:30,,,,,,,,,,11:00Å`11:30,,,,,,,,,,11:00Å`11:30,,,,,,,,,,11:00Å`11:30,,,,,,,,,,11:00Å`11:30,,,,,,,,,,11:00Å`11:30,,,,,,,,,,11:00Å`11:30,,,,,,,,,,11:00Å`11:30,,,,,,,,,,11:00Å`11:30,,,,,,,,,
11:30Å`12:00,0.944,0.402,0.582,0.226,0.637,0.559,0.553,0.919,0.458,11:30Å`12:00,0.529,0.007,0.576,0.125,0.087,0.639,0.264,0.745,0.284,11:30Å`12:00,0.361,0.008,0.349,0.153,0.092,0.572,0.173,0.518,0.312,11:30Å`12:00,,,,,,,,,,11:30Å`12:00,,,,,,,,,,11:30Å`12:00,,,,,,,,,,11:30Å`12:00,,,,,,,,,,11:30Å`12:00,,,,,,,,,,11:30Å`12:00,,,,,,,,,,11:30Å`12:00,,,,,,,,,,11:30Å`12:00,,,,,,,,,,11:30Å`12:00,,,,,,,,,
12:00Å`12:30,0.893,0.349,0.798,0.353,0.805,0.574,0.619,0.676,0.514,12:00Å`12:30,0.477,0.006,0.588,0.268,0.116,0.63,0.333,0.508,0.337,12:00Å`12:30,0.391,0.006,0.243,0.228,0.102,0.647,0.219,0.379,0.353,12:00Å`12:30,,,,,,,,,,12:00Å`12:30,,,,,,,,,,12:00Å`12:30,,,,,,,,,,12:00Å`12:30,,,,,,,,,,12:00Å`12:30,,,,,,,,,,12:00Å`12:30,,,,,,,,,,12:00Å`12:30,,,,,,,,,,12:00Å`12:30,,,,,,,,,,12:00Å`12:30,,,,,,,,,
12:30Å`13:00,0.903,0.359,0.814,0.381,0.819,0.576,0.618,0.676,0.45,12:30Å`13:00,0.503,0.007,0.593,0.278,0.147,0.635,0.348,0.519,0.315,12:30Å`13:00,0.409,0.006,0.283,0.226,0.093,0.639,0.223,0.383,0.349,12:30Å`13:00,,,,,,,,,,12:30Å`13:00,,,,,,,,,,12:30Å`13:00,,,,,,,,,,12:30Å`13:00,,,,,,,,,,12:30Å`13:00,,,,,,,,,,12:30Å`13:00,,,,,,,,,,12:30Å`13:00,,,,,,,,,,12:30Å`13:00,,,,,,,,,,12:30Å`13:00,,,,,,,,,
13:00Å`13:30,0.895,0.371,0.793,0.247,0.699,0.58,0.552,0.702,0.498,13:00Å`13:30,0.503,0.007,0.691,0.224,0.047,0.641,0.264,0.551,0.267,13:00Å`13:30,0.429,0.007,0.279,0.215,0.002,0.646,0.23,0.371,0.289,13:00Å`13:30,,,,,,,,,,13:00Å`13:30,,,,,,,,,,13:00Å`13:30,,,,,,,,,,13:00Å`13:30,,,,,,,,,,13:00Å`13:30,,,,,,,,,,13:00Å`13:30,,,,,,,,,,13:00Å`13:30,,,,,,,,,,13:00Å`13:30,,,,,,,,,,13:00Å`13:30,,,,,,,,,
13:30Å`14:00,0.881,0.395,0.803,0.257,0.707,0.585,0.529,0.736,0.476,13:30Å`14:00,0.508,0.007,0.713,0.234,0.046,0.649,0.266,0.567,0.279,13:30Å`14:00,0.444,0.007,0.309,0.204,0,0.657,0.172,0.383,0.273,13:30Å`14:00,,,,,,,,,,13:30Å`14:00,,,,,,,,,,13:30Å`14:00,,,,,,,,,,13:30Å`14:00,,,,,,,,,,13:30Å`14:00,,,,,,,,,,13:30Å`14:00,,,,,,,,,,13:30Å`14:00,,,,,,,,,,13:30Å`14:00,,,,,,,,,,13:30Å`14:00,,,,,,,,,
14:00Å`14:30,0.868,0.397,0.816,0.254,0.665,0.595,0.54,0.748,0.49,14:00Å`14:30,0.496,0.005,0.727,0.212,0.107,0.66,0.29,0.609,0.245,14:00Å`14:30,0.441,0.007,0.273,0.215,0,0.646,0.216,0.395,0.292,14:00Å`14:30,,,,,,,,,,14:00Å`14:30,,,,,,,,,,14:00Å`14:30,,,,,,,,,,14:00Å`14:30,,,,,,,,,,14:00Å`14:30,,,,,,,,,,14:00Å`14:30,,,,,,,,,,14:00Å`14:30,,,,,,,,,,14:00Å`14:30,,,,,,,,,,14:00Å`14:30,,,,,,,,,
14:30Å`15:00,0.91,0.397,0.8,0.268,0.618,0.61,0.551,0.773,0.419,14:30Å`15:00,0.526,0.009,0.742,0.238,0.162,0.664,0.26,0.633,0.238,14:30Å`15:00,0.451,0.008,0.264,0.2,0,0.646,0.238,0.416,0.239,14:30Å`15:00,,,,,,,,,,14:30Å`15:00,,,,,,,,,,14:30Å`15:00,,,,,,,,,,14:30Å`15:00,,,,,,,,,,14:30Å`15:00,,,,,,,,,,14:30Å`15:00,,,,,,,,,,14:30Å`15:00,,,,,,,,,,14:30Å`15:00,,,,,,,,,,14:30Å`15:00,,,,,,,,,
15:00Å`15:30,0.777,0.472,0.734,0.257,0.709,0.572,0.355,0.72,0.235,15:00Å`15:30,0.494,0.01,0.663,0.134,0.23,0.65,0.222,0.671,0.221,15:00Å`15:30,0.349,0.011,0.186,0.154,0.004,0.588,0.236,0.493,0.17,15:00Å`15:30,,,,,,,,,,15:00Å`15:30,,,,,,,,,,15:00Å`15:30,,,,,,,,,,15:00Å`15:30,,,,,,,,,,15:00Å`15:30,,,,,,,,,,15:00Å`15:30,,,,,,,,,,15:00Å`15:30,,,,,,,,,,15:00Å`15:30,,,,,,,,,,15:00Å`15:30,,,,,,,,,
15:30Å`16:00,0.82,0.494,0.754,0.17,0.634,0.584,0.371,0.695,0.167,15:30Å`16:00,0.427,0.013,0.752,0.116,0.132,0.649,0.172,0.674,0.148,15:30Å`16:00,0.288,0.014,0.329,0.182,0.005,0.589,0.319,0.506,0.135,15:30Å`16:00,,,,,,,,,,15:30Å`16:00,,,,,,,,,,15:30Å`16:00,,,,,,,,,,15:30Å`16:00,,,,,,,,,,15:30Å`16:00,,,,,,,,,,15:30Å`16:00,,,,,,,,,,15:30Å`16:00,,,,,,,,,,15:30Å`16:00,,,,,,,,,,15:30Å`16:00,,,,,,,,,
16:00Å`16:30,0.778,0.482,0.772,0.093,0.642,0.584,0.469,0.693,0.182,16:00Å`16:30,0.372,0.022,0.811,0.07,0.207,0.639,0.236,0.689,0.157,16:00Å`16:30,0.375,0.011,0.279,0.148,0,0.596,0.178,0.539,0.124,16:00Å`16:30,,,,,,,,,,16:00Å`16:30,,,,,,,,,,16:00Å`16:30,,,,,,,,,,16:00Å`16:30,,,,,,,,,,16:00Å`16:30,,,,,,,,,,16:00Å`16:30,,,,,,,,,,16:00Å`16:30,,,,,,,,,,16:00Å`16:30,,,,,,,,,,16:00Å`16:30,,,,,,,,,
16:30Å`17:00,0.753,0.571,0.743,0.03,0.644,0.575,0.4,0.688,0.272,16:30Å`17:00,0.338,0.031,0.546,0.036,0.19,0.596,0.193,0.743,0.024,16:30Å`17:00,0.288,0.018,0.169,0.152,0,0.56,0.095,0.568,0.073,16:30Å`17:00,,,,,,,,,,16:30Å`17:00,,,,,,,,,,16:30Å`17:00,,,,,,,,,,16:30Å`17:00,,,,,,,,,,16:30Å`17:00,,,,,,,,,,16:30Å`17:00,,,,,,,,,,16:30Å`17:00,,,,,,,,,,16:30Å`17:00,,,,,,,,,,16:30Å`17:00,,,,,,,,,
17:00Å`17:30,0.338,0.574,0.741,0,0.625,0.296,0.3,0.848,0.259,17:00Å`17:30,0.206,0.063,0.461,0.053,0.183,0.179,0.112,0.799,0.028,17:00Å`17:30,0.182,0.034,0.135,0.054,0,0.196,0.112,0.649,0.05,17:00Å`17:30,,,,,,,,,,17:00Å`17:30,,,,,,,,,,17:00Å`17:30,,,,,,,,,,17:00Å`17:30,,,,,,,,,,17:00Å`17:30,,,,,,,,,,17:00Å`17:30,,,,,,,,,,17:00Å`17:30,,,,,,,,,,17:00Å`17:30,,,,,,,,,,17:00Å`17:30,,,,,,,,,
17:30Å`18:00,0.393,1,0,0.143,0.167,0.017,0.066,0.967,0.232,17:30Å`18:00,0.303,0.133,0.057,0,0.06,0.017,0.039,0.966,0.062,17:30Å`18:00,0.113,0.042,0.094,0.057,0,0,0.011,0.77,0.049,17:30Å`18:00,,,,,,,,,,17:30Å`18:00,,,,,,,,,,17:30Å`18:00,,,,,,,,,,17:30Å`18:00,,,,,,,,,,17:30Å`18:00,,,,,,,,,,17:30Å`18:00,,,,,,,,,,17:30Å`18:00,,,,,,,,,,17:30Å`18:00,,,,,,,,,,17:30Å`18:00,,,,,,,,,
18:00Å`18:30,0.672,1,1,1,1,1,0,0.853,1,18:00Å`18:30,0.238,1,1,0,1,0,0.025,0.984,0.178,18:00Å`18:30,0.093,0,0.053,0.018,0,0,0.003,0.879,0.069,18:00Å`18:30,,,,,,,,,,18:00Å`18:30,,,,,,,,,,18:00Å`18:30,,,,,,,,,,18:00Å`18:30,,,,,,,,,,18:00Å`18:30,,,,,,,,,,18:00Å`18:30,,,,,,,,,,18:00Å`18:30,,,,,,,,,,18:00Å`18:30,,,,,,,,,,18:00Å`18:30,,,,,,,,,
18:30Å`19:00,0.696,1,1,1,1,1,1,1,1,18:30Å`19:00,0.175,1,1,1,1,1,1,1,1,18:30Å`19:00,0.053,1,1,1,1,0,0.023,1,0.115,18:30Å`19:00,,,,,,,,,,18:30Å`19:00,,,,,,,,,,18:30Å`19:00,,,,,,,,,,18:30Å`19:00,,,,,,,,,,18:30Å`19:00,,,,,,,,,,18:30Å`19:00,,,,,,,,,,18:30Å`19:00,,,,,,,,,,18:30Å`19:00,,,,,,,,,,18:30Å`19:00,,,,,,,,,
